date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:10:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 14:20:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 14:30:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 14:40:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 14:50:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 15:00:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 15:10:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 16:00:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 16:10:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 16:20:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 16:30:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 16:40:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 16:50:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 17:00:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 17:10:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 17:20:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 17:50:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 18:00:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 18:10:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 18:20:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 18:30:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 18:40:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 18:50:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 19:00:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 19:10:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 19:20:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 20:10:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 20:20:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 20:30:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 20:40:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 20:50:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
2018-12-15 21:00:00,WB9RWL,33.8958,-84.125,W1NT,42.86,-71.03,14.0,,Raytrace,iri2016,1512,38.55980379866203,-77.98573951260971
