date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:50:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 15:00:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 15:10:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 15:20:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 15:30:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 15:40:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 15:50:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 16:00:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 16:10:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 16:30:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 16:40:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 16:50:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 17:00:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 17:10:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 17:20:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 17:30:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 17:40:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 17:50:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 18:00:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 18:10:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 18:40:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 18:50:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 19:00:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 19:10:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 19:20:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 19:30:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 19:40:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 19:50:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
2018-12-15 20:00:00,KK4GGL,29.8542,-81.2917,KC2P,41.0188,-73.6792,14.0,,Raytrace,iri2016,1418,35.49599965377393,-77.75057520330068
